cid	title	pid
LAW302	Commercial Conflict of Laws	BL
LAW303	Law of Equity & Trusts 	BL
LAW307	Law of Evidence	BL
LAW401	Intellectual Property Law	BL
LAW404	Public International Law	BL
LAW410	WTO: Law and Policy	BL
LAW422	Trade & Investment Law 	BL
LAW428	Family Law	BL
LAW447	International Construction Law	BL
LAW459	Drafting in Corporate Practice	BL
LAW477	Law and Psychology	BL
LAW489	Introduction to Law & Technology 	BL
LAW499	Legal Commentaries for Practice 	BL
LGST101	Company Law	BL
LGST201	Business Law	BL
LGST301	Ethics & Social Responsibility	BL
MATH101	Calculus	BBM
MGMT102	Technology & World Change 	BBM
MGMT103	"Business, Government & Society"	BBM
MGMT205	International Business	BBM
MGMT223	Social Entrepreneurship	BBM
MGMT318	Design Thinking and Innovation	BBM
MGMT319	Management of Technology and Innovation	BBM
MGMT320	Innovations for Asia's Smart Cities	BBM
MGMT323	Business Consulting	BBM
MGMT404	Creative Thinking	BBM
MGMT405	Corporate Entrepreneurship and Innovation	BBM
MKTG220	Digital Marketing	BBM
MKTG228	Marketing Analytics	BBM
OBHR101	Leadership & Teambuilding	BBM
OBHR224	Human Capital Strategy	BBM
OBHR225	Technology Solutions for Human Resources	BBM
OBHR302	Ethics and Corporate Responsibility	BBM
OPIM214	Logistics and Transportation Management	BBM
OPIM321	Supply Chain Management	BBM
OPIM325	Sales and Operations Planning	BBM
OPIM413	Project Management	BBM
POSC101	Introduction to Public Policy 	BSS
POSC103	World Politics	BSS
POSC213	Politics of South East Asia	BSS
POSC215	Democracy	BSS
PPPM101	Public Sector Management	BSS
PPPM106	Policy Design and Analysis	BSS
PPPM201	Environmental Politics and Policy	BSS
PPPM301	Public Policy Task Force	BSS
PSYC102	Introduction to Psychology	BSS
PSYC103	Social Psychology	BSS
PSYC208	Psychology Research Methods 	BSS
QF101	Quantitative Finance	BBM
QF105	Global Financial Risk Management	BBM
SMT112	Sustainable Digital Cities	BSS
SMT201	Geospatial Analytics for Urban Planning 	BSIS
SMT203	Smart City Systems & Management	BSIS
SMT483	Smart City Project Experience	BSIS
SOCG201	Social Stratification and Inequality	BSS
SOCG203	Gender and Family	BSS
SOCG220	Sociology of Terrorism and Political Violence	BSS
SOCG221	Sociological Theories of Crime and Deviance	BSS
SOCG224	Sociology of Work	BSS
SOCG225	Migration and Urbanization	BSS
SOCG304	Social Networks	BSS
STAT101	Introductory Statistics	BSEcons
STAT201	Probability Theory and Applications	BSEcons
STAT203	Financial Mathematics	BSEcons
STAT311	Risk Theory and Loss Models	BSEcons
TRAD201	Shipping Business	BBM
