cid	sno	rid	no_seats
ECON101	G1	1	25
ECON101	G1	2	12
ECON101	G1	3	5
ECON101	G1	4	0
ECON101	G1	5	0
ECON101	G2	1	15
ECON101	G2	2	15
ECON101	G2	3	5
ECON101	G2	4	2
ECON101	G2	5	8
ECON101	G3	1	15
ECON101	G3	2	15
ECON101	G3	3	5
ECON101	G3	4	5
ECON101	G3	5	5
ECON101	G4	1	15
ECON101	G4	2	15
ECON101	G4	3	5
ECON101	G4	4	5
ECON101	G4	5	5
ECON101	G5	1	15
ECON101	G5	2	15
ECON101	G5	3	5
ECON101	G5	4	4
ECON101	G5	5	3
ECON102	G1	1	15
ECON102	G1	2	15
ECON102	G1	3	5
ECON102	G1	4	5
ECON102	G1	5	5
ECON102	G2	1	20
ECON102	G2	2	20
ECON102	G2	3	5
ECON102	G2	4	0
ECON102	G2	5	0
ECON102	G3	1	35
ECON102	G3	2	5
ECON102	G3	3	3
ECON102	G3	4	2
ECON102	G3	5	0
ECON102	G4	1	30
ECON102	G4	2	5
ECON102	G4	3	5
ECON102	G4	4	5
ECON102	G4	5	0
ECON102	G5	1	10
ECON102	G5	2	10
ECON102	G5	3	10
ECON102	G5	4	10
ECON102	G5	5	5
ECON104	G1	1	9
ECON104	G1	2	1
ECON104	G1	3	0
ECON104	G1	4	0
ECON104	G1	5	0
ECON104	G2	1	9
ECON104	G2	2	3
ECON104	G2	3	0
ECON104	G2	4	0
ECON104	G2	5	0
ECON107	G1	1	40
ECON107	G1	2	2
ECON107	G1	3	0
ECON107	G1	4	0
ECON107	G1	5	0
ECON107	G2	1	38
ECON107	G2	2	4
ECON107	G2	3	0
ECON107	G2	4	0
ECON107	G2	5	0
ECON107	G3	1	40
ECON107	G3	2	2
ECON107	G3	3	0
ECON107	G3	4	0
ECON107	G3	5	0
ECON107	G4	1	38
ECON107	G4	2	4
ECON107	G4	3	0
ECON107	G4	4	0
ECON107	G4	5	0
ECON107	G5	1	40
ECON107	G5	2	2
ECON107	G5	3	0
ECON107	G5	4	0
ECON107	G5	5	0
ECON206	G1	1	36
ECON206	G1	2	4
ECON206	G1	3	2
ECON206	G1	4	2
ECON206	G1	5	1
ECON206	G2	1	36
ECON206	G2	2	4
ECON206	G2	3	2
ECON206	G2	4	2
ECON206	G2	5	1
ECON206	G3	1	36
ECON206	G3	2	4
ECON206	G3	3	2
ECON206	G3	4	2
ECON206	G3	5	1
ECON225	G1	1	8
ECON225	G1	2	4
ECON225	G1	3	0
ECON225	G1	4	0
ECON225	G1	5	0
ECON225	G2	1	7
ECON225	G2	2	3
ECON225	G2	3	0
ECON225	G2	4	0
ECON225	G2	5	0
ECON226	G1	1	15
ECON226	G1	2	15
ECON226	G1	3	5
ECON226	G1	4	5
ECON226	G1	5	5
ECON235	G1	1	45
ECON235	G1	2	0
ECON235	G1	3	0
ECON235	G1	4	0
ECON235	G1	5	0
ECON235	G2	1	40
ECON235	G2	2	5
ECON235	G2	3	0
ECON235	G2	4	0
ECON235	G2	5	0
ECON241	G1	1	15
ECON241	G1	2	10
ECON241	G1	3	10
ECON241	G1	4	5
ECON241	G1	5	5
ECON241	G2	1	20
ECON241	G2	2	20
ECON241	G2	3	5
ECON241	G2	4	0
ECON241	G2	5	0
ECON313	G1	1	20
ECON313	G1	2	16
ECON313	G1	3	4
ECON313	G1	4	0
ECON313	G1	5	0
ECON313	G2	1	20
ECON313	G2	2	16
ECON313	G2	3	4
ECON313	G2	4	0
ECON313	G2	5	0
ECON336	G1	1	25
ECON336	G1	2	15
ECON336	G1	3	5
ECON336	G1	4	0
ECON336	G1	5	0
ECON431	G1	1	36
ECON431	G1	2	4
ECON431	G1	3	2
ECON431	G1	4	2
ECON431	G1	5	1
ECON432	G1	1	15
ECON432	G1	2	15
ECON432	G1	3	5
ECON432	G1	4	5
ECON432	G1	5	5
ECON432	G2	1	15
ECON432	G2	2	15
ECON432	G2	3	5
ECON432	G2	4	5
ECON432	G2	5	5
FNCE101	G1	1	7
FNCE101	G1	2	3
FNCE101	G1	3	0
FNCE101	G1	4	0
FNCE101	G1	5	0
FNCE101	G2	1	7
FNCE101	G2	2	3
FNCE101	G2	3	0
FNCE101	G2	4	0
FNCE101	G2	5	0
FNCE102	G1	1	30
FNCE102	G1	2	10
FNCE102	G1	3	2
FNCE102	G1	4	2
FNCE102	G1	5	1
FNCE102	G2	1	30
FNCE102	G2	2	10
FNCE102	G2	3	2
FNCE102	G2	4	2
FNCE102	G2	5	1
FNCE201	G1	1	30
FNCE201	G1	2	10
FNCE201	G1	3	2
FNCE201	G1	4	2
FNCE201	G1	5	1
FNCE204	G1	1	20
FNCE204	G1	2	20
FNCE204	G1	3	5
FNCE204	G1	4	0
FNCE204	G1	5	0
FNCE221	G1	1	20
FNCE221	G1	2	15
FNCE221	G1	3	5
FNCE221	G1	4	3
FNCE221	G1	5	2
FNCE225	G1	1	20
FNCE225	G1	2	20
FNCE225	G1	3	5
FNCE225	G1	4	0
FNCE225	G1	5	0
FNCE229	G1	1	30
FNCE229	G1	2	10
FNCE229	G1	3	2
FNCE229	G1	4	2
FNCE229	G1	5	1
FNCE310	G1	1	20
FNCE310	G1	2	20
FNCE310	G1	3	5
FNCE310	G1	4	0
FNCE310	G1	5	0
FNCE311	G1	1	30
FNCE311	G1	2	10
FNCE311	G1	3	5
FNCE311	G1	4	0
FNCE311	G1	5	0
FNCE403	G1	1	30
FNCE403	G1	2	10
FNCE403	G1	3	2
FNCE403	G1	4	2
FNCE403	G1	5	1
IDIS103	G1	1	20
IDIS103	G1	2	20
IDIS103	G1	3	5
IDIS103	G1	4	0
IDIS103	G1	5	0
IDIS209	G1	1	40
IDIS209	G1	2	3
IDIS209	G1	3	2
IDIS209	G1	4	0
IDIS209	G1	5	0
IDIS305	G1	1	20
IDIS305	G1	2	15
IDIS305	G1	3	5
IDIS305	G1	4	3
IDIS305	G1	5	2
IDIS306	G1	1	20
IDIS306	G1	2	15
IDIS306	G1	3	5
IDIS306	G1	4	3
IDIS306	G1	5	2
IDIS404	G1	1	20
IDIS404	G1	2	15
IDIS404	G1	3	5
IDIS404	G1	4	3
IDIS404	G1	5	2
IS102	G1	1	20
IS102	G1	2	20
IS102	G1	3	5
IS102	G1	4	0
IS102	G1	5	0
IS103	G1	1	16
IS103	G1	2	0
IS103	G1	3	0
IS103	G1	4	0
IS103	G1	5	0
IS111	G1	1	40
IS111	G1	2	3
IS111	G1	3	2
IS111	G1	4	0
IS111	G1	5	0
IS111	G2	1	40
IS111	G2	2	3
IS111	G2	3	2
IS111	G2	4	0
IS111	G2	5	0
IS112	G1	1	8
IS112	G1	2	4
IS112	G1	3	0
IS112	G1	4	0
IS112	G1	5	0
IS112	G2	1	8
IS112	G2	2	4
IS112	G2	3	0
IS112	G2	4	0
IS112	G2	5	0
IS113	G1	1	20
IS113	G1	2	20
IS113	G1	3	5
IS113	G1	4	0
IS113	G1	5	0
IS113	G2	1	15
IS113	G2	2	15
IS113	G2	3	10
IS113	G2	4	5
IS113	G2	5	0
IS113	G3	1	15
IS113	G3	2	15
IS113	G3	3	15
IS113	G3	4	0
IS113	G3	5	0
IS113	G4	1	15
IS113	G4	2	15
IS113	G4	3	10
IS113	G4	4	5
IS113	G4	5	0
IS113	G5	1	15
IS113	G5	2	15
IS113	G5	3	15
IS113	G5	4	0
IS113	G5	5	0
IS210	G1	1	20
IS210	G1	2	20
IS210	G1	3	5
IS210	G1	4	0
IS210	G1	5	0
IS211	G1	1	45
IS211	G1	2	0
IS211	G1	3	0
IS211	G1	4	0
IS211	G1	5	0
IS211	G2	1	45
IS211	G2	2	0
IS211	G2	3	0
IS211	G2	4	0
IS211	G2	5	0
IS211	G3	1	45
IS211	G3	2	0
IS211	G3	3	0
IS211	G3	4	0
IS211	G3	5	0
IS211	G4	1	45
IS211	G4	2	0
IS211	G4	3	0
IS211	G4	4	0
IS211	G4	5	0
IS211	G5	1	0
IS211	G5	2	40
IS211	G5	3	5
IS211	G5	4	0
IS211	G5	5	0
IS212	G1	1	20
IS212	G1	2	20
IS212	G1	3	5
IS212	G1	4	0
IS212	G1	5	0
IS213	G1	1	20
IS213	G1	2	20
IS213	G1	3	5
IS213	G1	4	0
IS213	G1	5	0
IS214	G1	1	30
IS214	G1	2	5
IS214	G1	3	5
IS214	G1	4	5
IS214	G1	5	0
IS214	G2	1	30
IS214	G2	2	5
IS214	G2	3	5
IS214	G2	4	5
IS214	G2	5	0
IS214	G3	1	30
IS214	G3	2	5
IS214	G3	3	5
IS214	G3	4	5
IS214	G3	5	0
IS214	G4	1	30
IS214	G4	2	5
IS214	G4	3	5
IS214	G4	4	5
IS214	G4	5	0
IS214	G5	1	20
IS214	G5	2	20
IS214	G5	3	5
IS214	G5	4	0
IS214	G5	5	0
IS214	G6	1	0
IS214	G6	2	0
IS214	G6	3	30
IS214	G6	4	10
IS214	G6	5	5
IS301	G1	1	30
IS301	G1	2	5
IS301	G1	3	5
IS301	G1	4	5
IS301	G1	5	0
IS302	G1	1	30
IS302	G1	2	5
IS302	G1	3	5
IS302	G1	4	5
IS302	G1	5	0
IS303	G1	1	20
IS303	G1	2	20
IS303	G1	3	5
IS303	G1	4	0
IS303	G1	5	0
IS305	G1	1	45
IS305	G1	2	0
IS305	G1	3	0
IS305	G1	4	0
IS305	G1	5	0
IS425	G1	1	40
IS425	G1	2	3
IS425	G1	3	2
IS425	G1	4	0
IS425	G1	5	0
IS428	G1	1	30
IS428	G1	2	10
IS428	G1	3	5
IS428	G1	4	0
IS428	G1	5	0
IS433	G1	1	20
IS433	G1	2	20
IS433	G1	3	5
IS433	G1	4	0
IS433	G1	5	0
IS444	G1	1	20
IS444	G1	2	3
IS444	G1	3	2
IS444	G1	4	0
IS444	G1	5	0
IS444	G2	1	20
IS444	G2	2	3
IS444	G2	3	2
IS444	G2	4	0
IS444	G2	5	0
IS444	G3	1	20
IS444	G3	2	3
IS444	G3	3	2
IS444	G3	4	0
IS444	G3	5	0
IS444	G4	1	20
IS444	G4	2	3
IS444	G4	3	2
IS444	G4	4	0
IS444	G4	5	0
LAW101	G1	1	8
LAW101	G1	2	4
LAW101	G1	3	0
LAW101	G1	4	0
LAW101	G1	5	0
LAW101	G2	1	8
LAW101	G2	2	4
LAW101	G2	3	0
LAW101	G2	4	0
LAW101	G2	5	0
LAW102	G1	1	20
LAW102	G1	2	20
LAW102	G1	3	5
LAW102	G1	4	0
LAW102	G1	5	0
LAW102	G2	1	20
LAW102	G2	2	20
LAW102	G2	3	5
LAW102	G2	4	0
LAW102	G2	5	0
LAW102	G3	1	20
LAW102	G3	2	20
LAW102	G3	3	5
LAW102	G3	4	0
LAW102	G3	5	0
LAW106	G1	1	30
LAW106	G1	2	15
LAW106	G1	3	0
LAW106	G1	4	0
LAW106	G1	5	0
LAW106	G2	1	30
LAW106	G2	2	15
LAW106	G2	3	0
LAW106	G2	4	0
LAW106	G2	5	0
LAW106	G3	1	30
LAW106	G3	2	10
LAW106	G3	3	3
LAW106	G3	4	2
LAW106	G3	5	0
LAW108	G1	1	15
LAW108	G1	2	15
LAW108	G1	3	12
LAW108	G1	4	0
LAW108	G1	5	0
LAW108	G2	1	15
LAW108	G2	2	15
LAW108	G2	3	12
LAW108	G2	4	0
LAW108	G2	5	0
LAW108	G3	1	15
LAW108	G3	2	15
LAW108	G3	3	12
LAW108	G3	4	0
LAW108	G3	5	0
LAW201	G1	1	14
LAW201	G1	2	0
LAW201	G1	3	0
LAW201	G1	4	0
LAW201	G1	5	0
LAW202	G1	1	15
LAW202	G1	2	15
LAW202	G1	3	15
LAW202	G1	4	0
LAW202	G1	5	0
LAW202	G2	1	15
LAW202	G2	2	15
LAW202	G2	3	15
LAW202	G2	4	0
LAW202	G2	5	0
LAW204	G1	1	20
LAW204	G1	2	20
LAW204	G1	3	5
LAW204	G1	4	0
LAW204	G1	5	0
LAW204	G2	1	20
LAW204	G2	2	15
LAW204	G2	3	6
LAW204	G2	4	4
LAW204	G2	5	0
LAW301	G1	1	10
LAW301	G1	2	10
LAW301	G1	3	10
LAW301	G1	4	10
LAW301	G1	5	5
LAW302	G1	1	20
LAW302	G1	2	20
LAW302	G1	3	5
LAW302	G1	4	0
LAW302	G1	5	0
LAW401	G1	1	20
LAW401	G1	2	15
LAW401	G1	3	5
LAW401	G1	4	2
LAW401	G1	5	0
LAW404	G1	1	20
LAW404	G1	2	15
LAW404	G1	3	5
LAW404	G1	4	4
LAW404	G1	5	0
LAW410	G1	1	20
LAW410	G1	2	20
LAW410	G1	3	5
LAW410	G1	4	0
LAW410	G1	5	0
LAW422	G1	1	20
LAW422	G1	2	15
LAW422	G1	3	4
LAW422	G1	4	3
LAW422	G1	5	0
LAW428	G1	1	20
LAW428	G1	2	15
LAW428	G1	3	6
LAW428	G1	4	4
LAW428	G1	5	0
LAW447	G1	1	20
LAW447	G1	2	12
LAW447	G1	3	6
LAW447	G1	4	4
LAW447	G1	5	0
LAW477	G1	1	20
LAW477	G1	2	20
LAW477	G1	3	5
LAW477	G1	4	0
LAW477	G1	5	0
LAW489	G1	1	8
LAW489	G1	2	2
LAW489	G1	3	0
LAW489	G1	4	0
LAW489	G1	5	0
LAW489	G2	1	8
LAW489	G2	2	2
LAW489	G2	3	0
LAW489	G2	4	0
LAW489	G2	5	0
LGST101	G1	1	8
LGST101	G1	2	2
LGST101	G1	3	0
LGST101	G1	4	0
LGST101	G1	5	0
LGST101	G2	1	8
LGST101	G2	2	2
LGST101	G2	3	0
LGST101	G2	4	0
LGST101	G2	5	0
LGST201	G1	1	24
LGST201	G1	2	10
LGST201	G1	3	6
LGST201	G1	4	5
LGST201	G1	5	0
LGST201	G2	1	24
LGST201	G2	2	10
LGST201	G2	3	6
LGST201	G2	4	5
LGST201	G2	5	0
LGST201	G3	1	24
LGST201	G3	2	10
LGST201	G3	3	6
LGST201	G3	4	5
LGST201	G3	5	0
LGST301	G1	1	10
LGST301	G1	2	10
LGST301	G1	3	10
LGST301	G1	4	10
LGST301	G1	5	5
LGST301	G2	1	10
LGST301	G2	2	10
LGST301	G2	3	10
LGST301	G2	4	10
LGST301	G2	5	5
MATH101	G1	1	30
MATH101	G1	2	10
MATH101	G1	3	2
MATH101	G1	4	2
MATH101	G1	5	1
MATH101	G2	1	30
MATH101	G2	2	10
MATH101	G2	3	2
MATH101	G2	4	2
MATH101	G2	5	1
MATH101	G3	1	30
MATH101	G3	2	10
MATH101	G3	3	2
MATH101	G3	4	2
MATH101	G3	5	1
MGMT102	G1	1	20
MGMT102	G1	2	20
MGMT102	G1	3	2
MGMT102	G1	4	2
MGMT102	G1	5	1
MGMT102	G2	1	20
MGMT102	G2	2	20
MGMT102	G2	3	2
MGMT102	G2	4	2
MGMT102	G2	5	1
MGMT103	G1	1	20
MGMT103	G1	2	20
MGMT103	G1	3	2
MGMT103	G1	4	2
MGMT103	G1	5	1
MGMT103	G2	1	20
MGMT103	G2	2	20
MGMT103	G2	3	2
MGMT103	G2	4	2
MGMT103	G2	5	1
MGMT205	G1	1	20
MGMT205	G1	2	20
MGMT205	G1	3	5
MGMT205	G1	4	0
MGMT205	G1	5	0
MGMT223	G1	1	30
MGMT223	G1	2	10
MGMT223	G1	3	5
MGMT223	G1	4	0
MGMT223	G1	5	0
MGMT318	G1	1	30
MGMT318	G1	2	10
MGMT318	G1	3	5
MGMT318	G1	4	0
MGMT318	G1	5	0
MGMT319	G1	1	20
MGMT319	G1	2	20
MGMT319	G1	3	5
MGMT319	G1	4	0
MGMT319	G1	5	0
MGMT320	G1	1	30
MGMT320	G1	2	10
MGMT320	G1	3	5
MGMT320	G1	4	0
MGMT320	G1	5	0
MGMT323	G1	1	20
MGMT323	G1	2	20
MGMT323	G1	3	5
MGMT323	G1	4	0
MGMT323	G1	5	0
MGMT404	G1	1	20
MGMT404	G1	2	20
MGMT404	G1	3	5
MGMT404	G1	4	0
MGMT404	G1	5	0
OBHR101	G1	1	12
OBHR101	G1	2	4
OBHR101	G1	3	0
OBHR101	G1	4	0
OBHR101	G1	5	0
OBHR225	G1	1	20
OBHR225	G1	2	20
OBHR225	G1	3	5
OBHR225	G1	4	0
OBHR225	G1	5	0
OBHR302	G1	1	0
OBHR302	G1	2	40
OBHR302	G1	3	5
OBHR302	G1	4	0
OBHR302	G1	5	0
OPIM214	G1	1	20
OPIM214	G1	2	20
OPIM214	G1	3	3
OPIM214	G1	4	2
OPIM214	G1	5	0
OPIM321	G1	1	30
OPIM321	G1	2	5
OPIM321	G1	3	5
OPIM321	G1	4	5
OPIM321	G1	5	0
OPIM325	G1	1	0
OPIM325	G1	2	0
OPIM325	G1	3	40
OPIM325	G1	4	3
OPIM325	G1	5	2
OPIM413	G1	1	0
OPIM413	G1	2	40
OPIM413	G1	3	5
OPIM413	G1	4	0
OPIM413	G1	5	0
POSC101	G1	1	20
POSC101	G1	2	20
POSC101	G1	3	5
POSC101	G1	4	0
POSC101	G1	5	0
POSC101	G2	1	20
POSC101	G2	2	20
POSC101	G2	3	5
POSC101	G2	4	0
POSC101	G2	5	0
POSC103	G1	1	37
POSC103	G1	2	7
POSC103	G1	3	1
POSC103	G1	4	0
POSC103	G1	5	0
POSC103	G2	1	37
POSC103	G2	2	7
POSC103	G2	3	1
POSC103	G2	4	0
POSC103	G2	5	0
POSC103	G3	1	0
POSC103	G3	2	0
POSC103	G3	3	0
POSC103	G3	4	40
POSC103	G3	5	5
POSC213	G1	1	20
POSC213	G1	2	20
POSC213	G1	3	5
POSC213	G1	4	0
POSC213	G1	5	0
PPPM101	G1	1	30
PPPM101	G1	2	10
PPPM101	G1	3	5
PPPM101	G1	4	0
PPPM101	G1	5	0
PPPM101	G2	1	30
PPPM101	G2	2	10
PPPM101	G2	3	5
PPPM101	G2	4	0
PPPM101	G2	5	0
PPPM101	G3	1	0
PPPM101	G3	2	0
PPPM101	G3	3	0
PPPM101	G3	4	40
PPPM101	G3	5	5
PPPM106	G1	1	20
PPPM106	G1	2	20
PPPM106	G1	3	5
PPPM106	G1	4	0
PPPM106	G1	5	0
PPPM201	G1	1	35
PPPM201	G1	2	5
PPPM201	G1	3	5
PPPM201	G1	4	0
PPPM201	G1	5	0
PSYC102	G1	1	37
PSYC102	G1	2	7
PSYC102	G1	3	1
PSYC102	G1	4	0
PSYC102	G1	5	0
PSYC102	G2	1	37
PSYC102	G2	2	7
PSYC102	G2	3	1
PSYC102	G2	4	0
PSYC102	G2	5	0
PSYC103	G1	1	37
PSYC103	G1	2	7
PSYC103	G1	3	1
PSYC103	G1	4	0
PSYC103	G1	5	0
PSYC208	G1	1	21
PSYC208	G1	2	19
PSYC208	G1	3	5
PSYC208	G1	4	0
PSYC208	G1	5	0
QF101	G1	1	20
QF101	G1	2	20
QF101	G1	3	0
QF101	G1	4	0
QF101	G1	5	0
QF101	G2	1	20
QF101	G2	2	20
QF101	G2	3	5
QF101	G2	4	0
QF101	G2	5	0
QF101	G3	1	20
QF101	G3	2	10
QF101	G3	3	10
QF101	G3	4	5
QF101	G3	5	0
SMT201	G1	1	30
SMT201	G1	2	10
SMT201	G1	3	5
SMT201	G1	4	0
SMT201	G1	5	0
SMT201	G2	1	30
SMT201	G2	2	10
SMT201	G2	3	5
SMT201	G2	4	0
SMT201	G2	5	0
SMT203	G1	1	30
SMT203	G1	2	10
SMT203	G1	3	5
SMT203	G1	4	0
SMT203	G1	5	0
SOCG201	G1	1	20
SOCG201	G1	2	20
SOCG201	G1	3	5
SOCG201	G1	4	0
SOCG201	G1	5	0
SOCG203	G1	1	37
SOCG203	G1	2	7
SOCG203	G1	3	1
SOCG203	G1	4	0
SOCG203	G1	5	0
SOCG220	G1	1	30
SOCG220	G1	2	10
SOCG220	G1	3	5
SOCG220	G1	4	0
SOCG220	G1	5	0
SOCG221	G1	1	20
SOCG221	G1	2	20
SOCG221	G1	3	5
SOCG221	G1	4	0
SOCG221	G1	5	0
SOCG224	G1	1	20
SOCG224	G1	2	20
SOCG224	G1	3	5
SOCG224	G1	4	0
SOCG224	G1	5	0
SOCG225	G1	1	20
SOCG225	G1	2	20
SOCG225	G1	3	5
SOCG225	G1	4	0
SOCG225	G1	5	0
STAT101	G1	1	21
STAT101	G1	2	0
STAT101	G1	3	0
STAT101	G1	4	0
STAT101	G1	5	0
STAT101	G2	1	23
STAT101	G2	2	0
STAT101	G2	3	0
STAT101	G2	4	0
STAT101	G2	5	0
STAT201	G1	1	10
STAT201	G1	2	10
STAT201	G1	3	10
STAT201	G1	4	10
STAT201	G1	5	5
STAT203	G1	1	20
STAT203	G1	2	20
STAT203	G1	3	5
STAT203	G1	4	0
STAT203	G1	5	0
DSA211	G1	1	10
DSA211	G1	2	2
DSA211	G1	3	0
DSA211	G1	4	0
DSA211	G1	5	0
DSA211	G2	1	10
DSA211	G2	2	0
DSA211	G2	3	0
DSA211	G2	4	0
DSA211	G2	5	0
COR1305	G1	1	8
COR1305	G1	2	4
COR1305	G1	3	0
COR1305	G1	4	0
COR1305	G1	5	0
COR1305	G2	1	12
COR1305	G2	2	4
COR1305	G2	3	0
COR1305	G2	4	0
COR1305	G2	5	0
